id,firstName,lastName,jobTitle,team,status
1,Michael,Smith,Developer,Team A,Inactive
2,Katie,Miller,Developer,Team B,Inactive
3,John,Miller,Engineer,Team D,Inactive
4,Chris,Johnson,Manager,Team A,Active
5,Emily,Brown,Developer,Team C,Inactive
6,Michael,Doe,Analyst,Team D,Active
7,Chris,Johnson,Manager,Team D,Inactive
8,Jane,Smith,Developer,Team B,Inactive
9,Michael,Johnson,Administrator,Team B,Inactive
10,Jane,Doe,Developer,Team C,Active
11,Katie,Doe,Engineer,Team D,Active
12,Michael,Smith,Designer,Team C,Inactive
13,Katie,Johnson,Developer,Team B,Active
14,Katie,Johnson,Designer,Team A,Inactive
15,Chris,Davis,Engineer,Team A,Active
16,Emily,Smith,Administrator,Team A,Inactive
17,John,Miller,Engineer,Team A,Active
18,Jane,Doe,Administrator,Team A,Inactive
19,Katie,Doe,Analyst,Team A,Inactive
20,Katie,Doe,Manager,Team B,Inactive
21,Chris,Davis,Analyst,Team C,Inactive
22,Katie,Miller,Analyst,Team B,Active
23,Katie,Smith,Administrator,Team D,Inactive
24,Michael,Davis,Administrator,Team C,Active
25,Katie,Smith,Developer,Team C,Inactive
26,Chris,Smith,Engineer,Team A,Active
27,Katie,Miller,Engineer,Team A,Inactive
28,Katie,Doe,Designer,Team C,Inactive
29,Chris,Miller,Analyst,Team B,Inactive
30,Emily,Johnson,Analyst,Team C,Active
31,Chris,Miller,Engineer,Team A,Inactive
32,Jane,Brown,Analyst,Team A,Inactive
33,John,Miller,Engineer,Team B,Inactive
34,Emily,Doe,Engineer,Team D,Active
35,Jane,Davis,Analyst,Team D,Inactive
36,Chris,Davis,Analyst,Team D,Inactive
37,John,Smith,Engineer,Team C,Inactive
38,Emily,Miller,Analyst,Team C,Inactive
39,Michael,Miller,Designer,Team D,Active
40,Katie,Doe,Designer,Team C,Inactive
41,Emily,Smith,Analyst,Team C,Active
42,Katie,Davis,Manager,Team B,Inactive
43,Katie,Miller,Manager,Team C,Active
44,Michael,Smith,Administrator,Team D,Active
45,Katie,Doe,Analyst,Team D,Active
46,Katie,Johnson,Analyst,Team B,Active
47,Chris,Johnson,Designer,Team A,Active
48,Jane,Johnson,Engineer,Team A,Active
49,Katie,Smith,Designer,Team D,Inactive
50,Jane,Brown,Engineer,Team B,Active
51,John,Miller,Engineer,Team A,Inactive
52,Michael,Davis,Manager,Team D,Inactive
53,Chris,Brown,Developer,Team D,Active
54,Jane,Miller,Developer,Team A,Active
55,John,Brown,Manager,Team D,Inactive
56,Michael,Doe,Analyst,Team D,Inactive
57,Chris,Davis,Designer,Team B,Active
58,John,Johnson,Designer,Team D,Inactive
59,Chris,Doe,Analyst,Team A,Inactive
60,Chris,Doe,Administrator,Team D,Inactive
61,Katie,Smith,Manager,Team A,Active
62,Emily,Johnson,Manager,Team C,Active
63,Katie,Davis,Manager,Team D,Active
64,Chris,Davis,Administrator,Team D,Inactive
65,Jane,Doe,Developer,Team D,Inactive
66,Emily,Doe,Developer,Team C,Active
67,Jane,Smith,Administrator,Team C,Active
68,Jane,Davis,Designer,Team C,Inactive
69,Katie,Brown,Designer,Team A,Active
70,John,Doe,Developer,Team D,Inactive
71,Katie,Davis,Designer,Team D,Inactive
72,Jane,Johnson,Analyst,Team B,Active
73,Chris,Brown,Designer,Team B,Active
74,Michael,Doe,Designer,Team C,Inactive
75,Katie,Brown,Manager,Team D,Inactive
76,Katie,Brown,Administrator,Team D,Active
77,John,Davis,Analyst,Team A,Inactive
78,Katie,Davis,Designer,Team B,Active
79,Chris,Doe,Developer,Team A,Inactive
80,Chris,Miller,Developer,Team A,Active
81,Emily,Smith,Developer,Team A,Active
82,Emily,Miller,Developer,Team A,Inactive
83,Michael,Davis,Analyst,Team C,Inactive
84,Jane,Davis,Administrator,Team D,Active
85,Jane,Johnson,Developer,Team A,Active
86,Emily,Davis,Manager,Team D,Inactive
87,Jane,Doe,Developer,Team A,Active
88,Emily,Smith,Analyst,Team A,Active
89,Emily,Johnson,Administrator,Team C,Active
90,Michael,Miller,Manager,Team C,Active
91,Katie,Miller,Administrator,Team B,Inactive
92,Jane,Davis,Analyst,Team A,Active
93,Jane,Davis,Engineer,Team A,Active
94,Emily,Davis,Administrator,Team C,Inactive
95,Emily,Brown,Administrator,Team C,Inactive
96,Jane,Johnson,Engineer,Team D,Inactive
97,Emily,Davis,Developer,Team B,Active
98,Emily,Miller,Engineer,Team A,Inactive
99,John,Doe,Manager,Team D,Active
100,John,Davis,Designer,Team A,Active
